"Step","TinyTNLM_wiki_linear - perplexity_valid","TinyTNLM_wiki_linear - perplexity_valid__MIN","TinyTNLM_wiki_linear - perplexity_valid__MAX","TinyTNLM2_wiki_linear - perplexity_valid","TinyTNLM2_wiki_linear - perplexity_valid__MIN","TinyTNLM2_wiki_linear - perplexity_valid__MAX","TinyTNLM2_wiki_tanh - perplexity_valid","TinyTNLM2_wiki_tanh - perplexity_valid__MIN","TinyTNLM2_wiki_tanh - perplexity_valid__MAX","TinyTNLM_wiki_tanh - perplexity_valid","TinyTNLM_wiki_tanh - perplexity_valid__MIN","TinyTNLM_wiki_tanh - perplexity_valid__MAX"
"0","191.20358276367188","191.20358276367188","191.20358276367188","190.1940460205078","190.1940460205078","190.1940460205078","167.9137420654297","167.9137420654297","167.9137420654297","159.54998779296875","159.54998779296875","159.54998779296875"
"2","157.85348510742188","157.85348510742188","157.85348510742188","162.84735107421875","162.84735107421875","162.84735107421875","144.6428680419922","144.6428680419922","144.6428680419922","138.2414093017578","138.2414093017578","138.2414093017578"
"4","142.29530334472656","142.29530334472656","142.29530334472656","151.3485565185547","151.3485565185547","151.3485565185547","134.90428161621094","134.90428161621094","134.90428161621094","125.37236022949219","125.37236022949219","125.37236022949219"
"6","132.15802001953125","132.15802001953125","132.15802001953125","144.07081604003906","144.07081604003906","144.07081604003906","130.74691772460938","130.74691772460938","130.74691772460938","119.96138000488281","119.96138000488281","119.96138000488281"
"8","126.17097473144531","126.17097473144531","126.17097473144531","138.00901794433594","138.00901794433594","138.00901794433594","125.27124786376953","125.27124786376953","125.27124786376953","116.08865356445312","116.08865356445312","116.08865356445312"
"10","121.02959442138672","121.02959442138672","121.02959442138672","135.207763671875","135.207763671875","135.207763671875","123.35115051269531","123.35115051269531","123.35115051269531","113.83370971679688","113.83370971679688","113.83370971679688"
"12","117.49154663085938","117.49154663085938","117.49154663085938","130.52731323242188","130.52731323242188","130.52731323242188","120.36914825439453","120.36914825439453","120.36914825439453","109.6478500366211","109.6478500366211","109.6478500366211"
"14","117.06139373779297","117.06139373779297","117.06139373779297","128.9056396484375","128.9056396484375","128.9056396484375","120.21739959716797","120.21739959716797","120.21739959716797","111.80020904541016","111.80020904541016","111.80020904541016"
"16","115.02015686035156","115.02015686035156","115.02015686035156","126.9049301147461","126.9049301147461","126.9049301147461","118.25772857666016","118.25772857666016","118.25772857666016","109.55347442626953","109.55347442626953","109.55347442626953"
"18","110.63612365722656","110.63612365722656","110.63612365722656","125.97972869873047","125.97972869873047","125.97972869873047","120.16060638427734","120.16060638427734","120.16060638427734","110.72819519042969","110.72819519042969","110.72819519042969"
"20","110.66515350341797","110.66515350341797","110.66515350341797","123.59774780273438","123.59774780273438","123.59774780273438","118.16201782226562","118.16201782226562","118.16201782226562","109.1526107788086","109.1526107788086","109.1526107788086"
"22","108.6086196899414","108.6086196899414","108.6086196899414","122.16136169433594","122.16136169433594","122.16136169433594","117.56220245361328","117.56220245361328","117.56220245361328","108.02937316894531","108.02937316894531","108.02937316894531"
"24","106.97688293457031","106.97688293457031","106.97688293457031","120.05581665039062","120.05581665039062","120.05581665039062","115.34088897705078","115.34088897705078","115.34088897705078","107.96102905273438","107.96102905273438","107.96102905273438"
"26","106.45310974121094","106.45310974121094","106.45310974121094","119.01348114013672","119.01348114013672","119.01348114013672","115.7686767578125","115.7686767578125","115.7686767578125","106.91203308105469","106.91203308105469","106.91203308105469"
"28","105.66828918457031","105.66828918457031","105.66828918457031","118.51483154296875","118.51483154296875","118.51483154296875","115.64928436279297","115.64928436279297","115.64928436279297","107.2955322265625","107.2955322265625","107.2955322265625"
"30","104.89472961425781","104.89472961425781","104.89472961425781","118.1400375366211","118.1400375366211","118.1400375366211","115.85089874267578","115.85089874267578","115.85089874267578","107.63050842285156","107.63050842285156","107.63050842285156"
"32","103.09636688232422","103.09636688232422","103.09636688232422","117.0755386352539","117.0755386352539","117.0755386352539","115.5484848022461","115.5484848022461","115.5484848022461","105.3117904663086","105.3117904663086","105.3117904663086"
"34","102.59556579589844","102.59556579589844","102.59556579589844","116.72865295410156","116.72865295410156","116.72865295410156","115.86096954345703","115.86096954345703","115.86096954345703","110.79022216796875","110.79022216796875","110.79022216796875"
"36","103.10174560546875","103.10174560546875","103.10174560546875","116.41116333007812","116.41116333007812","116.41116333007812","115.43960571289062","115.43960571289062","115.43960571289062","106.32057189941406","106.32057189941406","106.32057189941406"
"38","102.25727081298828","102.25727081298828","102.25727081298828","115.90013122558594","115.90013122558594","115.90013122558594","115.51471710205078","115.51471710205078","115.51471710205078","107.97216796875","107.97216796875","107.97216796875"
"40","101.97647094726562","101.97647094726562","101.97647094726562","114.47230529785156","114.47230529785156","114.47230529785156","114.37149810791016","114.37149810791016","114.37149810791016","108.71670532226562","108.71670532226562","108.71670532226562"
"42","102.3073501586914","102.3073501586914","102.3073501586914","116.46239471435547","116.46239471435547","116.46239471435547","117.57765197753906","117.57765197753906","117.57765197753906","107.63784790039062","107.63784790039062","107.63784790039062"
"44","101.50635528564453","101.50635528564453","101.50635528564453","115.5123291015625","115.5123291015625","115.5123291015625","116.78392028808594","116.78392028808594","116.78392028808594","107.30362701416016","107.30362701416016","107.30362701416016"
"46","100.67125701904297","100.67125701904297","100.67125701904297","113.83377075195312","113.83377075195312","113.83377075195312","115.87511444091797","115.87511444091797","115.87511444091797","105.83668518066406","105.83668518066406","105.83668518066406"
"48","100.26974487304688","100.26974487304688","100.26974487304688","114.16999053955078","114.16999053955078","114.16999053955078","116.89120483398438","116.89120483398438","116.89120483398438","109.54376220703125","109.54376220703125","109.54376220703125"
"50","100.56672668457031","100.56672668457031","100.56672668457031","113.59384155273438","113.59384155273438","113.59384155273438","115.69501495361328","115.69501495361328","115.69501495361328","107.42325592041016","107.42325592041016","107.42325592041016"
"52","99.47054290771484","99.47054290771484","99.47054290771484","112.40263366699219","112.40263366699219","112.40263366699219","115.19190216064453","115.19190216064453","115.19190216064453","106.2786865234375","106.2786865234375","106.2786865234375"
"54","99.1371078491211","99.1371078491211","99.1371078491211","112.77490997314453","112.77490997314453","112.77490997314453","115.27104187011719","115.27104187011719","115.27104187011719","105.73103332519531","105.73103332519531","105.73103332519531"
"56","99.70464324951172","99.70464324951172","99.70464324951172","112.83853149414062","112.83853149414062","112.83853149414062","116.44840240478516","116.44840240478516","116.44840240478516","110.09727478027344","110.09727478027344","110.09727478027344"
"58","99.74185943603516","99.74185943603516","99.74185943603516","111.61262512207031","111.61262512207031","111.61262512207031","115.83549499511719","115.83549499511719","115.83549499511719","107.9944076538086","107.9944076538086","107.9944076538086"
"60","98.9839859008789","98.9839859008789","98.9839859008789","112.33177185058594","112.33177185058594","112.33177185058594","116.618408203125","116.618408203125","116.618408203125","106.96316528320312","106.96316528320312","106.96316528320312"
"62","99.8879623413086","99.8879623413086","99.8879623413086","111.69969177246094","111.69969177246094","111.69969177246094","115.91755676269531","115.91755676269531","115.91755676269531","110.2281494140625","110.2281494140625","110.2281494140625"
"64","99.72280883789062","99.72280883789062","99.72280883789062","112.50849151611328","112.50849151611328","112.50849151611328","117.650146484375","117.650146484375","117.650146484375","108.05986785888672","108.05986785888672","108.05986785888672"
"66","98.66293334960938","98.66293334960938","98.66293334960938","111.72441101074219","111.72441101074219","111.72441101074219","116.9664306640625","116.9664306640625","116.9664306640625","108.5455093383789","108.5455093383789","108.5455093383789"
"68","98.52392578125","98.52392578125","98.52392578125","111.79206085205078","111.79206085205078","111.79206085205078","118.77351379394531","118.77351379394531","118.77351379394531","111.8122787475586","111.8122787475586","111.8122787475586"
"70","98.90228271484375","98.90228271484375","98.90228271484375","111.45407104492188","111.45407104492188","111.45407104492188","117.49739837646484","117.49739837646484","117.49739837646484","109.9765625","109.9765625","109.9765625"
"72","98.50823974609375","98.50823974609375","98.50823974609375","111.0614242553711","111.0614242553711","111.0614242553711","116.8550796508789","116.8550796508789","116.8550796508789","112.65010833740234","112.65010833740234","112.65010833740234"
"74","98.50917053222656","98.50917053222656","98.50917053222656","111.0811767578125","111.0811767578125","111.0811767578125","118.48202514648438","118.48202514648438","118.48202514648438","108.21745300292969","108.21745300292969","108.21745300292969"
"76","97.79478454589844","97.79478454589844","97.79478454589844","110.97474670410156","110.97474670410156","110.97474670410156","117.28535461425781","117.28535461425781","117.28535461425781","109.87356567382812","109.87356567382812","109.87356567382812"
"78","97.56034851074219","97.56034851074219","97.56034851074219","111.87052154541016","111.87052154541016","111.87052154541016","119.5257339477539","119.5257339477539","119.5257339477539","109.14257049560547","109.14257049560547","109.14257049560547"
"80","98.06246948242188","98.06246948242188","98.06246948242188","110.63560485839844","110.63560485839844","110.63560485839844","118.70719146728516","118.70719146728516","118.70719146728516","108.26432037353516","108.26432037353516","108.26432037353516"
"82","97.91197967529297","97.91197967529297","97.91197967529297","110.81983947753906","110.81983947753906","110.81983947753906","119.04424285888672","119.04424285888672","119.04424285888672","112.72696685791016","112.72696685791016","112.72696685791016"
"84","97.78704833984375","97.78704833984375","97.78704833984375","111.47003936767578","111.47003936767578","111.47003936767578","118.48931884765625","118.48931884765625","118.48931884765625","111.8953857421875","111.8953857421875","111.8953857421875"
"86","97.88058471679688","97.88058471679688","97.88058471679688","111.09097290039062","111.09097290039062","111.09097290039062","119.36688995361328","119.36688995361328","119.36688995361328","111.3426284790039","111.3426284790039","111.3426284790039"
"88","97.84217071533203","97.84217071533203","97.84217071533203","110.28606414794922","110.28606414794922","110.28606414794922","118.673583984375","118.673583984375","118.673583984375","110.37516021728516","110.37516021728516","110.37516021728516"
"90","97.71673583984375","97.71673583984375","97.71673583984375","109.992431640625","109.992431640625","109.992431640625","118.2033920288086","118.2033920288086","118.2033920288086","112.10723876953125","112.10723876953125","112.10723876953125"
"92","97.19532775878906","97.19532775878906","97.19532775878906","110.2021713256836","110.2021713256836","110.2021713256836","118.66718292236328","118.66718292236328","118.66718292236328","128.10948181152344","128.10948181152344","128.10948181152344"
"94","97.9950942993164","97.9950942993164","97.9950942993164","110.43647766113281","110.43647766113281","110.43647766113281","119.13178253173828","119.13178253173828","119.13178253173828","114.07684326171875","114.07684326171875","114.07684326171875"
"96","98.43572998046875","98.43572998046875","98.43572998046875","110.55091857910156","110.55091857910156","110.55091857910156","120.08833312988281","120.08833312988281","120.08833312988281","112.47769165039062","112.47769165039062","112.47769165039062"
"98","98.7707290649414","98.7707290649414","98.7707290649414","109.95252990722656","109.95252990722656","109.95252990722656","117.92657470703125","117.92657470703125","117.92657470703125","113.25475311279297","113.25475311279297","113.25475311279297"